Market_and_Exchange_Names,Report_Date_as_MM_DD_YYYY,Comm_Net_All,NonComm_Net_All,NonRept_Net_All
BITCOIN - CHICAGO MERCANTILE EXCHANGE,2018-04-10,0,-238,238
BITCOIN - CHICAGO MERCANTILE EXCHANGE,2018-04-17,0,-340,340
BITCOIN - CHICAGO MERCANTILE EXCHANGE,2018-04-24,0,-521,521
BITCOIN - CHICAGO MERCANTILE EXCHANGE,2018-05-01,0,-256,256
BITCOIN - CHICAGO MERCANTILE EXCHANGE,2018-05-08,0,-400,400
BITCOIN - CHICAGO MERCANTILE EXCHANGE,2018-05-22,0,-443,443
BITCOIN - CHICAGO MERCANTILE EXCHANGE,2018-05-29,0,-557,557
BITCOIN - CHICAGO MERCANTILE EXCHANGE,2018-06-05,0,-466,466
BITCOIN - CHICAGO MERCANTILE EXCHANGE,2018-06-12,0,-377,377
BITCOIN - CHICAGO MERCANTILE EXCHANGE,2018-06-19,0,-345,345
BITCOIN - CHICAGO MERCANTILE EXCHANGE,2018-06-26,0,-423,423
BITCOIN - CHICAGO MERCANTILE EXCHANGE,2018-07-03,0,-409,409
BITCOIN - CHICAGO MERCANTILE EXCHANGE,2018-07-10,0,-331,331
BITCOIN - CHICAGO MERCANTILE EXCHANGE,2018-07-17,-77,-347,424
BITCOIN - CHICAGO MERCANTILE EXCHANGE,2018-07-24,-77,-497,574
BITCOIN - CHICAGO MERCANTILE EXCHANGE,2018-07-31,-85,-452,537
BITCOIN - CHICAGO MERCANTILE EXCHANGE,2018-08-07,-85,-366,451
BITCOIN - CHICAGO MERCANTILE EXCHANGE,2018-08-14,-77,-222,299
BITCOIN - CHICAGO MERCANTILE EXCHANGE,2018-08-21,-90,-265,355
BITCOIN - CHICAGO MERCANTILE EXCHANGE,2018-08-28,-90,-439,529
BITCOIN - CHICAGO MERCANTILE EXCHANGE,2018-09-04,-145,-322,467
BITCOIN - CHICAGO MERCANTILE EXCHANGE,2018-09-11,-143,-359,502
BITCOIN - CHICAGO MERCANTILE EXCHANGE,2018-09-18,-139,-381,520
BITCOIN - CHICAGO MERCANTILE EXCHANGE,2018-09-25,-139,-327,466
BITCOIN - CHICAGO MERCANTILE EXCHANGE,2018-10-02,-155,-328,483
BITCOIN - CHICAGO MERCANTILE EXCHANGE,2018-10-09,-170,-251,421
BITCOIN - CHICAGO MERCANTILE EXCHANGE,2018-10-16,-170,-228,398
BITCOIN - CHICAGO MERCANTILE EXCHANGE,2018-10-23,-171,-127,298
BITCOIN - CHICAGO MERCANTILE EXCHANGE,2018-10-30,-167,-60,227
BITCOIN - CHICAGO MERCANTILE EXCHANGE,2018-11-06,-167,-210,377
BITCOIN - CHICAGO MERCANTILE EXCHANGE,2018-11-13,-167,-163,330
BITCOIN - CHICAGO MERCANTILE EXCHANGE,2018-11-20,-174,-109,283
BITCOIN - CHICAGO MERCANTILE EXCHANGE,2018-11-27,-251,-73,324
BITCOIN - CHICAGO MERCANTILE EXCHANGE,2018-12-04,-153,-114,267
BITCOIN - CHICAGO MERCANTILE EXCHANGE,2018-12-11,-169,-240,409
BITCOIN - CHICAGO MERCANTILE EXCHANGE,2018-12-18,-169,-352,521
BITCOIN - CHICAGO MERCANTILE EXCHANGE,2018-12-24,-154,-285,439
