,Market_and_Exchange_Names,As_of_Date_In_Form_YYMMDD,Report_Date_as_MM_DD_YYYY,CFTC_Contract_Market_Code,CFTC_Market_Code,CFTC_Region_Code,CFTC_Commodity_Code,Open_Interest_All,NonComm_Positions_Long_All,NonComm_Positions_Short_All,NonComm_Postions_Spread_All,Comm_Positions_Long_All,Comm_Positions_Short_All,Tot_Rept_Positions_Long_All,Tot_Rept_Positions_Short_All,NonRept_Positions_Long_All,NonRept_Positions_Short_All,Open_Interest_Old,NonComm_Positions_Long_Old,NonComm_Positions_Short_Old,NonComm_Positions_Spread_Old,Comm_Positions_Long_Old,Comm_Positions_Short_Old,Tot_Rept_Positions_Long_Old,Tot_Rept_Positions_Short_Old,NonRept_Positions_Long_Old,NonRept_Positions_Short_Old,Open_Interest_Other,NonComm_Positions_Long_Other,NonComm_Positions_Short_Other,NonComm_Positions_Spread_Other,Comm_Positions_Long_Other,Comm_Positions_Short_Other,Tot_Rept_Positions_Long_Other,Tot_Rept_Positions_Short_Other,NonRept_Positions_Long_Other,NonRept_Positions_Short_Other,Change_in_Open_Interest_All,Change_in_NonComm_Long_All,Change_in_NonComm_Short_All,Change_in_NonComm_Spead_All,Change_in_Comm_Long_All,Change_in_Comm_Short_All,Change_in_Tot_Rept_Long_All,Change_in_Tot_Rept_Short_All,Change_in_NonRept_Long_All,Change_in_NonRept_Short_All,Pct_of_Open_Interest_All,Pct_of_OI_NonComm_Long_All,Pct_of_OI_NonComm_Short_All,Pct_of_OI_NonComm_Spread_All,Pct_of_OI_Comm_Long_All,Pct_of_OI_Comm_Short_All,Pct_of_OI_Tot_Rept_Long_All,Pct_of_OI_Tot_Rept_Short_All,Pct_of_OI_NonRept_Long_All,Pct_of_OI_NonRept_Short_All,Pct_of_Open_Interest_Old,Pct_of_OI_NonComm_Long_Old,Pct_of_OI_NonComm_Short_Old,Pct_of_OI_NonComm_Spread_Old,Pct_of_OI_Comm_Long_Old,Pct_of_OI_Comm_Short_Old,Pct_of_OI_Tot_Rept_Long_Old,Pct_of_OI_Tot_Rept_Short_Old,Pct_of_OI_NonRept_Long_Old,Pct_of_OI_NonRept_Short_Old,Pct_of_Open_Interest_Other,Pct_of_OI_NonComm_Long_Other,Pct_of_OI_NonComm_Short_Other,Pct_of_OI_NonComm_Spread_Other,Pct_of_OI_Comm_Long_Other,Pct_of_OI_Comm_Short_Other,Pct_of_OI_Tot_Rept_Long_Other,Pct_of_OI_Tot_Rept_Short_Other,Pct_of_OI_NonRept_Long_Other,Pct_of_OI_NonRept_Short_Other,Traders_Tot_All,Traders_NonComm_Long_All,Traders_NonComm_Short_All,Traders_NonComm_Spread_All,Traders_Comm_Long_All,Traders_Comm_Short_All,Traders_Tot_Rept_Long_All,Traders_Tot_Rept_Short_All,Traders_Tot_Old,Traders_NonComm_Long_Old,Traders_NonComm_Short_Old,Traders_NonComm_Spead_Old,Traders_Comm_Long_Old,Traders_Comm_Short_Old,Traders_Tot_Rept_Long_Old,Traders_Tot_Rept_Short_Old,Traders_Tot_Other,Traders_NonComm_Long_Other,Traders_NonComm_Short_Other,Traders_NonComm_Spread_Other,Traders_Comm_Long_Other,Traders_Comm_Short_Other,Traders_Tot_Rept_Long_Other,Traders_Tot_Rept_Short_Other,Conc_Gross_LE_4_TDR_Long_All,Conc_Gross_LE_4_TDR_Short_All,Conc_Gross_LE_8_TDR_Long_All,Conc_Gross_LE_8_TDR_Short_All,Conc_Net_LE_4_TDR_Long_All,Conc_Net_LE_4_TDR_Short_All,Conc_Net_LE_8_TDR_Long_All,Conc_Net_LE_8_TDR_Short_All,Conc_Gross_LE_4_TDR_Long_Old,Conc_Gross_LE_4_TDR_Short_Old,Conc_Gross_LE_8_TDR_Long_Old,Conc_Gross_LE_8_TDR_Short_Old,Conc_Net_LE_4_TDR_Long_Old,Conc_Net_LE_4_TDR_Short_Old,Conc_Net_LE_8_TDR_Long_Old,Conc_Net_LE_8_TDR_Short_Old,Conc_Gross_LE_4_TDR_Long_Other,Conc_Gross_LE_4_TDR_Short_Other,Conc_Gross_LE_8_TDR_Long_Other,Conc_Gross_LE_8_TDR_Short_Other,Conc_Net_LE_4_TDR_Long_Other,Conc_Net_LE_4_TDR_Short_Other,Conc_Net_LE_8_TDR_Long_Other,Conc_Net_LE_8_TDR_Short_Other,Contract_Units
0,WHEAT-SRW - CHICAGO BOARD OF TRADE,220621,2022-06-21,001602,CBT ,0,1,320326,102924,83857,58836,125399,140806,287159,283499,33167,36827,282127,92226,83586,45007,114169,122631,251402,251224,30725,30903,38199,19848,9421,4679,11230,18175,35757,32275,2442,5924,-16564.0,-2642.0,-1274.0,-8287.0,-2688.0,-5370.0,-13617.0,-14931.0,-2947.0,-1633.0,100,32.1,26.2,18.4,39.1,44.0,89.6,88.5,10.4,11.5,100,32.7,29.6,16.0,40.5,43.5,89.1,89.0,10.9,11.0,100,52.0,24.7,12.2,29.4,47.6,93.6,84.5,6.4,15.5,326,96,83,105,93,120,253,252,320,104,74,99,92,117,248,243,135,19,35,17,27,69,61,106,16.3,13.3,27.7,22.5,16.1,11.4,26.8,19.7,17.7,14.2,27.2,23.6,17.1,13.3,26.4,22.0,50.9,25.4,66.4,39.2,50.9,18.8,64.9,30.1,"(CONTRACTS OF 5,000 BUSHELS)"
1,WHEAT-SRW - CHICAGO BOARD OF TRADE,220614,2022-06-14,001602,CBT ,0,1,336890,105566,85131,67123,128087,146176,300776,298430,36114,38460,298716,94450,84466,53707,116940,128194,265097,266367,33619,32349,38174,19891,9440,4641,11147,17982,35679,32063,2495,6111,3185.0,-4112.0,-666.0,-6052.0,11941.0,10167.0,1777.0,3449.0,1408.0,-264.0,100,31.3,25.3,19.9,38.0,43.4,89.3,88.6,10.7,11.4,100,31.6,28.3,18.0,39.1,42.9,88.7,89.2,11.3,10.8,100,52.1,24.7,12.2,29.2,47.1,93.5,84.0,6.5,16.0,337,101,83,112,89,123,257,264,332,114,70,109,89,121,253,259,135,19,36,20,26,68,63,106,15.9,13.6,27.3,22.4,15.9,11.2,26.2,18.9,16.8,13.9,26.5,22.8,16.5,12.9,25.7,21.0,51.3,24.4,66.5,38.1,51.3,18.2,65.3,28.5,"(CONTRACTS OF 5,000 BUSHELS)"
2,WHEAT-SRW - CHICAGO BOARD OF TRADE,220607,2022-06-07,001602,CBT ,0,1,333705,109678,85797,73175,116146,136009,298999,294981,34706,38724,299198,100476,86495,59822,106658,119545,266956,265862,32242,33336,34507,18094,8194,4461,9488,16464,32043,29119,2464,5388,2569.0,-4286.0,-5858.0,6346.0,-1419.0,-203.0,641.0,285.0,1928.0,2284.0,100,32.9,25.7,21.9,34.8,40.8,89.6,88.4,10.4,11.6,100,33.6,28.9,20.0,35.6,40.0,89.2,88.9,10.8,11.1,100,52.4,23.7,12.9,27.5,47.7,92.9,84.4,7.1,15.6,325,99,83,109,80,116,246,252,321,104,77,107,79,111,242,245,129,21,32,20,25,64,62,100,16.3,13.2,27.9,22.4,16.3,11.3,27.9,19.1,17.3,13.7,27.6,22.9,17.3,12.7,27.6,21.1,48.0,25.1,62.3,39.5,48.0,18.8,61.0,30.1,"(CONTRACTS OF 5,000 BUSHELS)"
3,WHEAT-SRW - CHICAGO BOARD OF TRADE,220531,2022-05-31,001602,CBT ,0,1,331136,113964,91655,66829,117565,136212,298358,294696,32778,36440,308960,109881,99897,53391,115471,123468,278743,276756,30217,32204,22176,14986,2661,2535,2094,12744,19615,17940,2561,4236,4529.0,-4206.0,-171.0,7748.0,1843.0,-3849.0,5385.0,3728.0,-856.0,801.0,100,34.4,27.7,20.2,35.5,41.1,90.1,89.0,9.9,11.0,100,35.6,32.3,17.3,37.4,40.0,90.2,89.6,9.8,10.4,100,67.6,12.0,11.4,9.4,57.5,88.5,80.9,11.5,19.1,338,107,87,109,80,117,255,254,335,107,88,106,78,114,249,249,120,22,25,12,21,62,53,90,16.0,13.2,27.6,21.8,15.9,11.7,27.5,19.5,16.7,14.1,28.1,22.5,16.7,13.1,28.1,21.0,50.4,26.5,66.2,42.0,50.0,25.8,63.1,36.1,"(CONTRACTS OF 5,000 BUSHELS)"
4,WHEAT-SRW - CHICAGO BOARD OF TRADE,220524,2022-05-24,001602,CBT ,0,1,326607,118170,91826,59081,115722,140061,292973,290968,33634,35639,307153,113416,98614,48587,114075,128226,276078,275427,31075,31726,19454,13730,2188,1518,1647,11835,16895,15541,2559,3913,-44.0,-3423.0,-961.0,8357.0,-4619.0,-6300.0,315.0,1096.0,-359.0,-1140.0,100,36.2,28.1,18.1,35.4,42.9,89.7,89.1,10.3,10.9,100,36.9,32.1,15.8,37.1,41.7,89.9,89.7,10.1,10.3,100,70.6,11.2,7.8,8.5,60.8,86.8,79.9,13.2,20.1,334,105,81,105,80,122,249,251,332,103,82,102,79,118,244,246,113,21,20,9,20,63,47,87,16.4,13.2,28.2,22.4,16.4,11.6,28.1,20.4,17.1,13.9,28.5,23.0,17.1,12.9,28.5,21.6,49.6,28.4,66.2,42.0,49.3,27.5,63.6,38.2,"(CONTRACTS OF 5,000 BUSHELS)"
5,WHEAT-SRW - CHICAGO BOARD OF TRADE,220517,2022-05-17,001602,CBT ,0,1,326651,121593,92787,50724,120341,146361,292658,289872,33993,36779,309057,116613,98016,42119,119010,135993,277742,276128,31315,32929,17594,12506,2297,1079,1331,10368,14916,13744,2678,3850,18325.0,10047.0,2927.0,4410.0,-290.0,7951.0,14167.0,15288.0,4158.0,3037.0,100,37.2,28.4,15.5,36.8,44.8,89.6,88.7,10.4,11.3,100,37.7,31.7,13.6,38.5,44.0,89.9,89.3,10.1,10.7,100,71.1,13.1,6.1,7.6,58.9,84.8,78.1,15.2,21.9,332,113,78,99,76,122,243,249,330,113,76,96,74,119,237,245,108,17,22,7,16,61,39,85,16.4,13.7,28.2,23.2,16.4,11.7,28.2,20.7,17.1,14.1,28.4,23.8,17.1,12.8,28.4,21.8,56.8,28.0,69.6,40.6,56.4,27.1,66.9,37.0,"(CONTRACTS OF 5,000 BUSHELS)"
6,WHEAT-SRW - CHICAGO BOARD OF TRADE,220510,2022-05-10,001602,CBT ,0,1,308326,111546,89860,46314,120631,138410,278491,274584,29835,33742,293514,108040,94973,38802,119267,129183,266109,262958,27405,30556,14812,9714,1095,1304,1364,9227,12382,11626,2430,3186,-10907.0,108.0,-1566.0,-10030.0,-3375.0,179.0,-13297.0,-11417.0,2390.0,510.0,100,36.2,29.1,15.0,39.1,44.9,90.3,89.1,9.7,10.9,100,36.8,32.4,13.2,40.6,44.0,90.7,89.6,9.3,10.4,100,65.6,7.4,8.8,9.2,62.3,83.6,78.5,16.4,21.5,328,104,81,96,82,116,245,240,326,103,80,92,77,114,235,237,108,19,18,9,18,60,40,86,17.1,13.4,29.0,22.3,17.0,11.9,28.9,20.5,17.9,13.8,29.6,22.8,17.9,12.8,29.5,21.4,46.3,29.8,62.6,41.8,45.4,29.3,59.2,39.0,"(CONTRACTS OF 5,000 BUSHELS)"
7,WHEAT-SRW - CHICAGO BOARD OF TRADE,220503,2022-05-03,001602,CBT ,0,1,319233,111438,91426,56344,124006,138231,291788,286001,27445,33232,305485,108812,97027,48421,122833,129568,280066,275016,25419,30469,13748,9331,1104,1218,1173,8663,11722,10985,2026,2763,-6361.0,-1168.0,470.0,290.0,-3439.0,-6606.0,-4317.0,-5846.0,-2044.0,-515.0,100,34.9,28.6,17.6,38.8,43.3,91.4,89.6,8.6,10.4,100,35.6,31.8,15.9,40.2,42.4,91.7,90.0,8.3,10.0,100,67.9,8.0,8.9,8.5,63.0,85.3,79.9,14.7,20.1,328,101,79,100,82,121,245,247,326,101,77,97,80,121,239,246,106,19,16,9,18,60,41,83,17.4,13.0,29.7,21.7,17.4,11.9,29.2,19.9,18.2,13.3,30.5,22.1,18.2,12.6,29.9,20.5,39.8,30.6,62.2,44.5,39.2,30.0,59.0,40.7,"(CONTRACTS OF 5,000 BUSHELS)"
8,WHEAT-SRW - CHICAGO BOARD OF TRADE,220426,2022-04-26,001602,CBT ,0,1,325594,112606,90956,56054,127445,144837,296105,291847,29489,33747,9611,3553,3526,1,3623,4167,7177,7694,2434,1917,315983,112082,90459,53024,123822,140670,288928,284153,27055,31830,-11444.0,-8733.0,-7138.0,-763.0,679.0,-2354.0,-8817.0,-10255.0,-2627.0,-1189.0,100,34.6,27.9,17.2,39.1,44.5,90.9,89.6,9.1,10.4,100,37.0,36.7,0.0,37.7,43.4,74.7,80.1,25.3,19.9,100,35.5,28.6,16.8,39.2,44.5,91.4,89.9,8.6,10.1,325,97,78,106,89,117,253,247,82,19,12,1,25,29,45,42,324,96,80,103,79,116,241,245,17.6,13.1,29.8,21.8,17.5,11.7,29.4,19.0,41.6,48.9,55.9,61.6,41.6,47.2,54.7,59.3,18.1,13.5,30.7,22.4,18.0,12.1,30.3,20.0,"(CONTRACTS OF 5,000 BUSHELS)"
9,WHEAT-SRW - CHICAGO BOARD OF TRADE,220419,2022-04-19,001602,CBT ,0,1,337038,121339,98094,56817,126766,147191,304922,302102,32116,34936,32310,18501,16874,396,6708,10652,25605,27922,6705,4388,304728,113979,92361,45280,120058,136539,279317,274180,25411,30548,-1233.0,1773.0,2414.0,-3731.0,1109.0,276.0,-849.0,-1041.0,-384.0,-192.0,100,36.0,29.1,16.9,37.6,43.7,90.5,89.6,9.5,10.4,100,57.3,52.2,1.2,20.8,33.0,79.2,86.4,20.8,13.6,100,37.4,30.3,14.9,39.4,44.8,91.7,90.0,8.3,10.0,332,105,81,112,81,120,253,255,170,51,35,6,34,54,87,93,326,98,88,98,73,117,232,248,16.8,12.9,28.5,21.5,16.7,11.2,28.3,18.5,22.0,31.9,32.4,45.6,22.0,31.9,32.4,44.2,18.0,14.2,30.5,23.4,17.9,12.5,30.3,20.2,"(CONTRACTS OF 5,000 BUSHELS)"
